Id,MSSubClass,LotArea,YearBuilt,GarageYrBlt,GarageArea,YrSold,SalePrice
662,60,46589,1994,1994,711,2009,402000
663,20,13560,1968,1968,576,2009,110000
664,85,10012,1972,1974,588,2008,137500
665,20,20896,2005,2005,1134,2006,423000
666,60,11194,2000,2000,504,2006,230500
667,60,18450,1965,1965,596,2007,129000
668,20,8125,1994,1994,575,2008,193500
669,20,14175,1956,1999,576,2006,168000
670,30,11600,1922,1922,252,2006,137500
671,60,8633,2005,2005,540,2009,173500
672,70,6629,1925,1930,300,2009,103600
673,20,11250,1977,1977,546,2006,165000
674,20,14442,1957,1957,416,2007,257500
675,20,9200,1965,1965,384,2008,140000
676,160,2289,1978,1978,440,2009,148500
677,70,9600,1900,1920,779,2006,87000
678,30,9022,1924,1924,240,2009,109500
679,20,11844,2008,2008,834,2009,372500
680,20,9945,1961,1963,572,2007,128500
681,120,8012,1980,1980,264,2010,143000
682,50,4500,1932,1968,281,2009,159434
683,120,2887,1996,1996,431,2008,173000
684,20,11248,2002,2002,702,2007,285000
685,60,16770,1998,1998,486,2010,221000
686,160,5062,1984,1984,577,2007,207500
687,60,10207,2007,2007,578,2007,227875
688,160,5105,2004,2004,480,2007,148800
689,20,8089,2007,2007,567,2007,392000
690,120,7577,2005,2005,460,2007,194700
691,120,4426,2004,2004,420,2008,141000
692,60,21535,1994,1994,832,2007,755000
693,60,26178,1989,1989,628,2006,335000
694,30,5400,1921,1968,326,2006,108480
695,50,6120,1936,1995,576,2009,141500
696,20,13811,1987,1987,551,2006,176000
697,30,6000,1921,1921,205,2006,89000
698,20,6420,1952,1952,308,2006,123500
699,20,8450,1965,1973,336,2010,138500
